ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,resultado
6126,1,14/4/2018,16:00,Cruzeiro,Gremio,4-2-3-1,4-2-3-1,L. Venker de Menezes,Renato Gaúcho,Gremio, Mineirão,0,1,MG,RS,1
6127,1,14/4/2018,19:02,Vitoria,Flamengo,4-2-3-1,4-1-4-1,V. Carmo Mancini,M. Nogueira Barbieri,-, Barradão,2,2,BA,RJ,2
6128,1,14/4/2018,21:03,Santos,Ceara,4-3-3,4-1-4-1,J. Ribeiro Ventura,M. Oliveira Chamusca,Santos,Estádio Municipal Paulo Machado de Carvalho,2,0,SP,CE,0
6129,1,15/4/2018,11:00,America-MG,Sport,4-1-4-1,4-3-2-1,E. Alves Moreira,N. Baptista Júnior,America-MG,Estádio Raimundo Sampaio,3,0,MG,PE,0
6130,1,15/4/2018,16:01,Vasco,Atletico-MG,4-1-4-1,4-1-4-1,J. Mannarino,T. Mendes Larghi,Vasco,Estádio Vasco da Gama,2,1,RJ,MG,0
6131,1,15/4/2018,16:02,Internacional,Bahia,4-2-3-1,4-2-3-1,O. Hellmann,A. Ferreira,Internacional,Estádio José Pinheiro Borda,2,0,RS,BA,0
6132,1,15/4/2018,16:02,Corinthians,Fluminense,4-2-4-0,5-4-1,F. Carille,A. da Silva Braga,Corinthians,Neo Química Arena,2,1,SP,RJ,0
6133,1,15/4/2018,19:01,Athletico-PR,Chapecoense,3-4-2-1,5-4-1,F. Diniz Silva,G. Kleina,Athletico-PR,Estádio Joaquim Américo Guimarães,5,1,PR,SC,0
6134,1,16/4/2018,19:59,Sao Paulo,Parana,4-2-3-1,4-1-4-1,D. Aguirre Camblor,Ademir Fesan,Sao Paulo, Morumbi,1,0,SP,PR,0
6135,1,16/4/2018,20:00,Botafogo-RJ,Palmeiras,4-1-4-1,4-2-3-1,A. Valentim do Carmo Neto,R. Machado Marques,-,Estádio Nilton Santos,1,1,RJ,SP,2
6136,2,21/4/2018,16:02,Bahia,Santos,4-2-3-1,4-2-3-1,A. Ferreira,J. Ribeiro Ventura,Bahia,Itaipava Arena Fonte Nova,1,0,BA,SP,0
6137,2,21/4/2018,19:00,Flamengo,America-MG,4-1-4-1,4-2-3-1,M. Nogueira Barbieri,E. Alves Moreira,Flamengo, Maracanã,2,0,RJ,MG,0
6138,2,22/4/2018,11:00,Parana,Corinthians,4-2-3-1,4-2-4-0,Ademir Fesan,F. Carille,Corinthians,Vila Capanema,0,4,PR,SP,1
6139,2,22/4/2018,16:00,Ceara,Sao Paulo,3-4-2-1,4-1-4-1,M. Oliveira Chamusca,D. Aguirre Camblor,-,Arena Castelão,0,0,CE,SP,2
